x,y,Canopy,percent_cat_1,percent_cat_2,percent_cat_3,stem_per_Hectare
11,Irv,0.083,0.894,0.082,0.024,91.45
15,Irv,0.083,0.894,0.082,0.024,91.45
16,Irv,0.083,0.894,0.082,0.024,91.45
18,Irv,0.083,0.894,0.082,0.024,91.45
15,Irv,0.083,0.894,0.082,0.024,91.45
16,Irv,0.083,0.894,0.082,0.024,91.45
13,Irv,0.083,0.894,0.082,0.024,91.45
18,Irv,0.083,0.894,0.082,0.024,91.45
16,Irv,0.083,0.894,0.082,0.024,91.45
15,Irv,0.083,0.894,0.082,0.024,91.45
14,Irv,0.083,0.894,0.082,0.024,91.45
11,Irv,0.083,0.894,0.082,0.024,91.45
15,Irv,0.083,0.894,0.082,0.024,91.45
16,Irv,0.083,0.894,0.082,0.024,91.45
16,Irv,0.083,0.894,0.082,0.024,91.45
20,Irv,0.083,0.894,0.082,0.024,91.45
21,Irv,0.083,0.894,0.082,0.024,91.45
12,Irv,0.083,0.894,0.082,0.024,91.45
24,Irv,0.083,0.894,0.082,0.024,91.45
18,Irv,0.083,0.894,0.082,0.024,91.45
16,Irv,0.083,0.894,0.082,0.024,91.45
18,Irv,0.083,0.894,0.082,0.024,91.45
19,Irv,0.083,0.894,0.082,0.024,91.45
19,Irv,0.083,0.894,0.082,0.024,91.45
17,Irv,0.083,0.894,0.082,0.024,91.45
18,Irv,0.083,0.894,0.082,0.024,91.45
16,Irv,0.083,0.894,0.082,0.024,91.45
16,Irv,0.083,0.894,0.082,0.024,91.45
17,Irv,0.083,0.894,0.082,0.024,91.45
16,Irv,0.083,0.894,0.082,0.024,91.45
12,Dre,0.018,0.965,0.035,0,101.61
13,Dre,0.018,0.965,0.035,0,101.61
10,Dre,0.018,0.965,0.035,0,101.61
14,Dre,0.018,0.965,0.035,0,101.61
13,Dre,0.018,0.965,0.035,0,101.61
15,Dre,0.018,0.965,0.035,0,101.61
15,Dre,0.018,0.965,0.035,0,101.61
14,Dre,0.018,0.965,0.035,0,101.61
