Richness,Date,Transect_ID,points,reach,canopy,cat1,cat2,cat3,flow
6,2/14/2022,1,a,a,19,122.23,20.37,264.84,10
3,2/20/2022,1,a,a,19,122.23,20.37,264.84,10
5,2/28/2022,1,a,a,19,122.23,20.37,264.84,10
3,3/8/2022,1,a,a,19,122.23,20.37,264.84,10
4,3/15/2022,1,a,a,19,122.23,20.37,264.84,10
5,3/22/2022,1,a,a,19,122.23,20.37,264.84,10
4,3/30/2022,1,a,a,19,122.23,20.37,264.84,10
4,4/5/2022,1,a,a,19,122.23,20.37,264.84,10
5,4/12/2022,1,a,a,19,122.23,20.37,264.84,10
8,2/14/2022,2,b,a,24,244.46,61.12,264.84,10
6,2/20/2022,2,b,a,24,244.46,61.12,264.84,10
7,2/28/2022,2,b,a,24,244.46,61.12,264.84,10
5,3/8/2022,2,b,a,24,244.46,61.12,264.84,10
6,3/15/2022,2,b,a,24,244.46,61.12,264.84,10
6,3/22/2022,2,b,a,24,244.46,61.12,264.84,10
5,3/30/2022,2,b,a,24,244.46,61.12,264.84,10
6,4/5/2022,2,b,a,24,244.46,61.12,264.84,10
7,4/12/2022,2,b,a,24,244.46,61.12,264.84,10
4,2/14/2022,3,c,a,17,224.09,122.23,224.09,10
7,2/20/2022,3,c,a,17,224.09,122.23,224.09,10
5,2/28/2022,3,c,a,17,224.09,122.23,224.09,10
6,3/8/2022,3,c,a,17,224.09,122.23,224.09,10
6,3/15/2022,3,c,a,17,224.09,122.23,224.09,10
4,3/22/2022,3,c,a,17,224.09,122.23,224.09,10
6,3/30/2022,3,c,a,17,224.09,122.23,224.09,10
5,4/5/2022,3,c,a,17,224.09,122.23,224.09,10
7,4/12/2022,3,c,a,17,224.09,122.23,224.09,10
7,2/14/2022,4,d,a,17,244.46,162.98,264.84,10
7,2/20/2022,4,d,a,17,244.46,162.98,264.84,10
5,2/28/2022,4,d,a,17,244.46,162.98,264.84,10
5,3/8/2022,4,d,a,17,244.46,162.98,264.84,10
6,3/15/2022,4,d,a,17,244.46,162.98,264.84,10
7,3/22/2022,4,d,a,17,244.46,162.98,264.84,10
7,3/30/2022,4,d,a,17,244.46,162.98,264.84,10
6,4/5/2022,4,d,a,17,244.46,162.98,264.84,10
6,4/12/2022,4,d,a,17,244.46,162.98,264.84,10
4,2/14/2022,5,e,a,26,101.86,122.23,285.21,10
8,2/20/2022,5,e,a,26,101.86,122.23,285.21,10
4,2/28/2022,5,e,a,26,101.86,122.23,285.21,10
4,3/8/2022,5,e,a,26,101.86,122.23,285.21,10
5,3/15/2022,5,e,a,26,101.86,122.23,285.21,10
2,3/22/2022,5,e,a,26,101.86,122.23,285.21,10
6,3/30/2022,5,e,a,26,101.86,122.23,285.21,10
5,4/5/2022,5,e,a,26,101.86,122.23,285.21,10
3,4/12/2022,5,e,a,26,101.86,122.23,285.21,10
6,2/14/2022,6,f,a,18,81.49,162.98,183.35,10
4,2/20/2022,6,f,a,18,81.49,162.98,183.35,10
4,2/28/2022,6,f,a,18,81.49,162.98,183.35,10
7,3/8/2022,6,f,a,18,81.49,162.98,183.35,10
4,3/15/2022,6,f,a,18,81.49,162.98,183.35,10
4,3/22/2022,6,f,a,18,81.49,162.98,183.35,10
5,3/30/2022,6,f,a,18,81.49,162.98,183.35,10
3,4/5/2022,6,f,a,18,81.49,162.98,183.35,10
6,4/12/2022,6,f,a,18,81.49,162.98,183.35,10
5,2/14/2022,7,g,a,9,203.72,101.86,61.12,10
5,2/20/2022,7,g,a,9,203.72,101.86,61.12,10
6,2/28/2022,7,g,a,9,203.72,101.86,61.12,10
7,3/8/2022,7,g,a,9,203.72,101.86,61.12,10
8,3/15/2022,7,g,a,9,203.72,101.86,61.12,10
6,3/22/2022,7,g,a,9,203.72,101.86,61.12,10
5,3/30/2022,7,g,a,9,203.72,101.86,61.12,10
5,4/5/2022,7,g,a,9,203.72,101.86,61.12,10
8,4/12/2022,7,g,a,9,203.72,101.86,61.12,10
3,2/14/2022,8,h,a,7,224.09,61.12,20.37,10
5,2/20/2022,8,h,a,7,224.09,61.12,20.37,10
4,2/28/2022,8,h,a,7,224.09,61.12,20.37,10
3,3/8/2022,8,h,a,7,224.09,61.12,20.37,10
4,3/15/2022,8,h,a,7,224.09,61.12,20.37,10
6,3/22/2022,8,h,a,7,224.09,61.12,20.37,10
4,3/30/2022,8,h,a,7,224.09,61.12,20.37,10
6,4/5/2022,8,h,a,7,224.09,61.12,20.37,10
